tab	measurements
analysts	citations	description	dir_csd	dir_dec	dir_inc	experiment	instrument_codes	magn_moment	magn_x_sigma	magn_y_sigma	magn_z_sigma	meas_n_orient	meas_temp	measurement	method_codes	quality	sequence	software_packages	specimen	standard	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_step_num	treat_temp
	This study		1.2	202.4	-30.3	CF1.1b:LP-DIR-AF	hargrave 2018-08-24 19:00:22	3.48e-08	4.58e-10	7.09e-10	2.11e-10	8	273	CF1.1b:LP-DIR-AF0	LT-NO:LP-DIR-AF	g	0	pmagpy-3.22.1	CF1.1b	u	0.0	0	0.0	0.0	0	273
	This study		1.7	202.2	-29.7	CF1.1b:LP-DIR-AF	hargrave 2018-08-24 19:01:43	3.48e-08	9.98e-10	7.689999999999999e-10	3.83e-10	8	273	CF1.1b:LP-DIR-AF1	LT-AF-Z:LP-DIR-AF	g	1	pmagpy-3.22.1	CF1.1b	u	0.001	0	0.0	0.0	1	273
	This study		1.7	202.2	-29.7	CF1.1b:LP-DIR-AF	hargrave 2018-08-24 19:03:04	3.48e-08	1.0300000000000002e-09	7.89e-10	3.9699999999999997e-10	8	273	CF1.1b:LP-DIR-AF2	LT-AF-Z:LP-DIR-AF	g	2	pmagpy-3.22.1	CF1.1b	u	0.002	0	0.0	0.0	2	273
	This study		1.7	202.3	-29.7	CF1.1b:LP-DIR-AF	hargrave 2018-08-24 19:04:24	3.48e-08	1.02e-09	7.79e-10	4.0800000000000004e-10	8	273	CF1.1b:LP-DIR-AF3	LT-AF-Z:LP-DIR-AF	g	3	pmagpy-3.22.1	CF1.1b	u	0.003	0	0.0	0.0	3	273
	This study		1.7	202.3	-29.7	CF1.1b:LP-DIR-AF	hargrave 2018-08-24 19:05:44	3.48e-08	1.0300000000000002e-09	7.76e-10	4.09e-10	8	273	CF1.1b:LP-DIR-AF4	LT-AF-Z:LP-DIR-AF	g	4	pmagpy-3.22.1	CF1.1b	u	0.004	0	0.0	0.0	4	273
	This study		1.4	201.9	-29.7	CF1.1b:LP-DIR-AF	hargrave 2018-08-24 19:07:08	3.48e-08	8.55e-10	4.1000000000000003e-10	4.15e-10	8	273	CF1.1b:LP-DIR-AF5	LT-AF-Z:LP-DIR-AF	g	5	pmagpy-3.22.1	CF1.1b	u	0.005	0	0.0	0.0	5	273
	This study		1.7	201.9	-30.2	CF1.1b:LP-DIR-AF	hargrave 2018-08-24 19:08:32	3.53e-08	8.559999999999999e-10	7.820000000000001e-10	4e-10	8	273	CF1.1b:LP-DIR-AF6	LT-AF-Z:LP-DIR-AF	g	6	pmagpy-3.22.1	CF1.1b	u	0.0075	0	0.0	0.0	6	273
	This study		1.7	202.0	-30.3	CF1.1b:LP-DIR-AF	hargrave 2018-08-24 19:09:52	3.5e-08	9.99e-10	7.81e-10	4.02e-10	8	273	CF1.1b:LP-DIR-AF7	LT-AF-Z:LP-DIR-AF	g	7	pmagpy-3.22.1	CF1.1b	u	0.01	0	0.0	0.0	7	273
	This study		1.4	201.7	-30.5	CF1.1b:LP-DIR-AF	hargrave 2018-08-24 19:11:16	3.48e-08	9.88e-10	3.83e-10	4.0099999999999996e-10	8	273	CF1.1b:LP-DIR-AF8	LT-AF-Z:LP-DIR-AF	g	8	pmagpy-3.22.1	CF1.1b	u	0.0125	0	0.0	0.0	8	273
	This study		1.3	202.1	-30.3	CF1.1b:LP-DIR-AF	hargrave 2018-08-24 19:12:40	3.5e-08	8.200000000000001e-10	4.86e-10	4.02e-10	8	273	CF1.1b:LP-DIR-AF9	LT-AF-Z:LP-DIR-AF	g	9	pmagpy-3.22.1	CF1.1b	u	0.015	0	0.0	0.0	9	273
