tab	locations
location	age	age_high	age_low	age_sigma	age_unit	lat_n	lat_s	lon_e	lon_w	geologic_classes	lithologies	location_type	analysts	citations
Copper Falls State Park	1100	1105	1098		Ma	46.37524	46.37128	269.36848	269.36308	Extrusive	Basaltic Lava:Rhyolite	Stratigraphic Section		This study
Gooseberry River	1095	1096.5	1093.6		Ma	47.15516	47.13752	268.54447	268.50811	Extrusive	Basaltic Lava	Stratigraphic Section		This study
Agate Point	1105.15			1.3	Ma	48.61012	48.60831	271.80218	271.80139	Extrusive	Basaltic Lava	Stratigraphic Section		This study
Puff Island	1095	1105	1085		Ma	48.65753	48.65744	271.96056	271.96054	Extrusive	Basaltic Lava	Stratigraphic Section		This study
>>>>>>>>>>
tab	measurements
measurement	experiment	specimen	dir_csd	dir_dec	dir_inc	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_step_num	treat_temp	citations	instrument_codes	method_codes	quality	sequence	standard	meas_n_orient	meas_temp	analysts	description	software_packages	magn_moment	magn_x_sigma	magn_y_sigma	magn_z_sigma
AP1-1a:LP-DIR-T1	AP1-1a:LP-DIR-T	AP1-1a	1.5	302.8	-56.9	0	0	0	-90	1	273	This study	hargrave 2016-04-08 16:13:53	LT-NO:LP-DIR-T	g	1	u	8	273			pmagpy-3.4.1	3.34e-05	7.87e-07	4.0700000000000003e-07	3.7e-07
AP1-1a:LP-DIR-T2	AP1-1a:LP-DIR-T	AP1-1a	2.1	301.6	-57	0	0	0	-90	2	77	This study	hargrave 2016-04-11 16:31:39	LT-LT-Z:LP-DIR-T	g	2	u	8	273			pmagpy-3.4.1	3.3e-05	1.09e-06	5.27e-07	3.7100000000000003e-07
AP1-1a:LP-DIR-T3	AP1-1a:LP-DIR-T	AP1-1a	2	303.2	-57	0	0	0	-90	3	373	This study	hargrave 2016-04-18 09:19:17	LT-T-Z:LP-DIR-T	g	3	u	8	273			pmagpy-3.4.1	3.3e-05	1.03e-06	5.070000000000001e-07	3.6700000000000004e-07
AP1-1a:LP-DIR-T4	AP1-1a:LP-DIR-T	AP1-1a	1.4	305.6	-57.1	0	0	0	-90	4	473	This study	hargrave 2016-04-18 16:34:42	LT-T-Z:LP-DIR-T	g	4	u	8	273			pmagpy-3.4.1	3.34e-05	7.11e-07	4.14e-07	3.5799999999999995e-07
AP1-1a:LP-DIR-T5	AP1-1a:LP-DIR-T	AP1-1a	1.1	303.4	-57.3	0	0	0	-90	5	573	This study	hargrave 2016-04-19 12:21:57	LT-T-Z:LP-DIR-T	g	5	u	8	273			pmagpy-3.4.1	3.13e-05	4.47e-07	4.19e-07	3.3100000000000004e-07
AP1-1a:LP-DIR-T6	AP1-1a:LP-DIR-T	AP1-1a	1.7	308.5	-57	0	0	0	-90	6	623	This study	hargrave 2016-04-25 11:56:05	LT-T-Z:LP-DIR-T	g	6	u	8	273			pmagpy-3.4.1	2.55e-05	6.25e-07	4.1700000000000004e-07	4.02e-07
AP1-1a:LP-DIR-T7	AP1-1a:LP-DIR-T	AP1-1a	2.3	307.6	-57.4	0	0	0	-90	7	673	This study	hargrave 2016-04-26 08:51:24	LT-T-Z:LP-DIR-T	g	7	u	8	273			pmagpy-3.4.1	2.22e-05	7.67e-07	4.51e-07	3.2299999999999997e-07
AP1-1a:LP-DIR-T8	AP1-1a:LP-DIR-T	AP1-1a	1.8	306.1	-56.8	0	0	0	-90	8	723	This study	hargrave 2016-04-26 16:20:18	LT-T-Z:LP-DIR-T	g	8	u	8	273			pmagpy-3.4.1	1.99e-05	5.079999999999999e-07	3.5399999999999997e-07	2.64e-07
AP1-1a:LP-DIR-T9	AP1-1a:LP-DIR-T	AP1-1a	1.4	307.3	-57.1	0	0	0	-90	9	748	This study	hargrave 2016-05-02 13:14:36	LT-T-Z:LP-DIR-T	g	9	u	8	273			pmagpy-3.4.1	1.8100000000000003e-05	3.46e-07	2.65e-07	1.94e-07
AP1-1a:LP-DIR-T10	AP1-1a:LP-DIR-T	AP1-1a	2.1	306.7	-57.5	0	0	0	-90	10	773	This study	hargrave 2016-05-02 19:37:35	LT-T-Z:LP-DIR-T	g	10	u	8	273			pmagpy-3.4.1	1.66e-05	5.32e-07	2.95e-07	2.55e-07
