tab	specimens																								
specimen	sample	dir_alpha95	dir_comp	dir_dec	dir_inc	dir_n_comps	dir_n_measurements	dir_tilt_correction	dir_dang	dir_mad_free	geologic_classes	geologic_types	lithologies	meas_step_max	meas_step_min	meas_step_unit	analysts	instrument_codes	software_packages	int_corr	citations	method_codes	result_quality	volume	weight
AP1-1a	AP1-1		mag	305.8	-57.3	1	10	-1	0.9	1.5				853	673	K		hargrave 2016-05-18 11:01:40	pmagpy-4.0.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		
AP1-1a	AP1-1		mag	123.2	-64	1	10	0	0.9	1.5				853	673	K		hargrave 2016-05-18 11:01:40	pmagpy-4.0.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		
AP1-1a	AP1-1		mag	98	-72.6	1	10	100	0.9	1.5				853	673	K		hargrave 2016-05-18 11:01:40	pmagpy-4.0.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g		
AP1-2a	AP1-2		mag	347.1	-75.8	1	10	-1	0.8	1.2				853	673	K		hargrave 2016-05-18 11:03:19	pmagpy-4.0.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		
AP1-2a	AP1-2		mag	126	-64.7	1	10	0	0.8	1.2				853	673	K		hargrave 2016-05-18 11:03:19	pmagpy-4.0.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		
AP1-2a	AP1-2		mag	100.6	-73.8	1	10	100	0.8	1.2				853	673	K		hargrave 2016-05-18 11:03:19	pmagpy-4.0.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g		
AP1-3a	AP1-3		mag	313.5	-59.8	1	10	-1	0.9	1.8				853	673	K		hargrave 2016-05-18 11:05:45	pmagpy-4.0.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		
AP1-3a	AP1-3		mag	131.7	-68.6	1	10	0	0.9	1.8				853	673	K		hargrave 2016-05-18 11:05:45	pmagpy-4.0.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		
AP1-3a	AP1-3		mag	100.9	-78.3	1	10	100	0.9	1.8				853	673	K		hargrave 2016-05-18 11:05:45	pmagpy-4.0.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g		
AP1-4a	AP1-4		mag	257.8	-78.7	1	10	-1	0.4	1				853	673	K		hargrave 2016-05-18 11:07:17	pmagpy-4.0.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		
AP1-4a	AP1-4		mag	121.7	-66	1	10	0	0.4	1				853	673	K		hargrave 2016-05-18 11:07:17	pmagpy-4.0.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		
AP1-4a	AP1-4		mag	92.6	-74.1	1	10	100	0.4	1				853	673	K		hargrave 2016-05-18 11:07:17	pmagpy-4.0.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g		
AP1-5a	AP1-5		mag	317.6	-43.7	1	10	-1	0.5	2.5				853	673	K		hargrave 2016-05-18 11:08:49	pmagpy-4.0.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		
AP1-5a	AP1-5		mag	132.6	-60.8	1	10	0	0.5	2.5				853	673	K		hargrave 2016-05-18 11:08:49	pmagpy-4.0.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		
AP1-5a	AP1-5		mag	115	-71.4	1	10	100	0.5	2.5				853	673	K		hargrave 2016-05-18 11:08:49	pmagpy-4.0.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g		
AP1-6a	AP1-6		mag	110.1	-71	1	10	100	0.6	1				853	673	K		hargrave 2016-05-18 11:10:25	pmagpy-4.0.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g		
AP1-6a	AP1-6		mag	318.4	-43	1	10	-1	0.6	1				853	673	K		hargrave 2016-05-18 11:10:25	pmagpy-4.0.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		
AP1-6a	AP1-6		mag	129.2	-60.9	1	10	0	0.6	1				853	673	K		hargrave 2016-05-18 11:10:25	pmagpy-4.0.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		
AP1-7a	AP1-7		mag	321.5	-39.6	1	10	-1	0.1	1.3				853	673	K		hargrave 2016-05-18 11:12:02	pmagpy-4.0.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		
AP1-7a	AP1-7		mag	125.3	-60.2	1	10	0	0.1	1.3				853	673	K		hargrave 2016-05-18 11:12:02	pmagpy-4.0.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		
AP1-7a	AP1-7		mag	105.6	-69.5	1	10	100	0.1	1.3				853	673	K		hargrave 2016-05-18 11:12:02	pmagpy-4.0.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g		
AP1-8a	AP1-8		mag	328.6	-40.9	1	10	-1	0.4	1.5				853	673	K		hargrave 2016-05-18 11:13:34	pmagpy-4.0.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		
AP1-8a	AP1-8		mag	124.3	-66.2	1	10	0	0.4	1.5				853	673	K		hargrave 2016-05-18 11:13:34	pmagpy-4.0.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		
AP1-8a	AP1-8		mag	95.7	-74.8	1	10	100	0.4	1.5				853	673	K		hargrave 2016-05-18 11:13:34	pmagpy-4.0.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g		
AP2-1a	AP2-1		mag	325.8	-22.3	1	10	-1	0.2	1.6				853	673	K		hargrave 2016-05-18 11:15:05	pmagpy-4.0.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		
AP2-1a	AP2-1		mag	120.5	-58.6	1	10	0	0.2	1.6				853	673	K		hargrave 2016-05-18 11:15:05	pmagpy-4.0.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		
AP2-1a	AP2-1		mag	100.9	-67.2	1	10	100	0.2	1.6				853	673	K		hargrave 2016-05-18 11:15:05	pmagpy-4.0.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g		
AP2-2a	AP2-2		mag	97.8	-67.4	1	10	100	0.4	0.8				853	673	K		hargrave 2016-05-18 11:16:40	pmagpy-4.0.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g		
AP2-2a	AP2-2		mag	280.2	-74.9	1	10	-1	0.4	0.8				853	673	K		hargrave 2016-05-18 11:16:40	pmagpy-4.0.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		
AP2-2a	AP2-2		mag	118.4	-59.2	1	10	0	0.4	0.8				853	673	K		hargrave 2016-05-18 11:16:40	pmagpy-4.0.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		
AP2-3a	AP2-3		mag	99.9	-61.7	1	10	100	1.1	1				853	673	K		hargrave 2016-05-18 11:19:40	pmagpy-4.0.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g		
AP2-3a	AP2-3		mag	57.8	-45.5	1	10	-1	1.1	1				853	673	K		hargrave 2016-05-18 11:19:40	pmagpy-4.0.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		
AP2-3a	AP2-3		mag	116.2	-53.6	1	10	0	1.1	1				853	673	K		hargrave 2016-05-18 11:19:40	pmagpy-4.0.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		
AP2-4a	AP2-4		mag	48.3	-43.4	1	10	-1	1	1.4				853	673	K		hargrave 2016-05-18 11:21:20	pmagpy-4.0.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		
AP2-4a	AP2-4		mag	113.2	-56.3	1	10	0	1	1.4				853	673	K		hargrave 2016-05-18 11:21:20	pmagpy-4.0.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		
AP2-4a	AP2-4		mag	94.3	-63.6	1	10	100	1	1.4				853	673	K		hargrave 2016-05-18 11:21:20	pmagpy-4.0.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g		
AP2-5a	AP2-5		mag	86.2	-65.7	1	10	-1	1.1	1.4				853	673	K		hargrave 2016-05-18 11:22:55	pmagpy-4.0.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		
AP2-5a	AP2-5		mag	111.2	-58.8	1	10	0	1.1	1.4				853	673	K		hargrave 2016-05-18 11:22:55	pmagpy-4.0.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		
AP2-5a	AP2-5		mag	89.7	-65.5	1	10	100	1.1	1.4				853	673	K		hargrave 2016-05-18 11:22:55	pmagpy-4.0.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g		
AP2-6a	AP2-6		mag	98	-71.9	1	10	-1	0.2	0.7				853	673	K		hargrave 2016-05-18 11:24:28	pmagpy-4.0.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		
AP2-6a	AP2-6		mag	110.2	-61.4	1	10	0	0.2	0.7				853	673	K		hargrave 2016-05-18 11:24:28	pmagpy-4.0.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		
AP2-6a	AP2-6		mag	85.7	-67.6	1	10	100	0.2	0.7				853	673	K		hargrave 2016-05-18 11:24:28	pmagpy-4.0.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g		
AP2-7a	AP2-7		mag	92.4	-62.7	1	10	100	0.3	0.9				853	673	K		hargrave 2016-05-18 11:25:57	pmagpy-4.0.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g		
AP2-7a	AP2-7		mag	111	-79.2	1	10	-1	0.3	0.9				853	673	K		hargrave 2016-05-18 11:25:57	pmagpy-4.0.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		
AP2-7a	AP2-7		mag	111.2	-55.8	1	10	0	0.3	0.9				853	673	K		hargrave 2016-05-18 11:25:57	pmagpy-4.0.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		
AP2-8a	AP2-8		mag	93.8	-61.1	1	10	100	2.1	2.1				853	673	K		hargrave 2016-05-18 11:27:28	pmagpy-4.0.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g		
AP2-8a	AP2-8		mag	111.3	-54.1	1	10	0	2.1	2.1				853	673	K		hargrave 2016-05-18 11:27:28	pmagpy-4.0.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		
AP2-8a	AP2-8		mag	345.3	-19.9	1	10	-1	2.1	2.1				853	673	K		hargrave 2016-05-18 11:27:28	pmagpy-4.0.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		
AP3-1a	AP3-1		mag	33.6	4.6	1	10	-1	0.4	2.9				853	673	K		hargrave 2016-05-18 11:29:00	pmagpy-4.0.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		
AP3-1a	AP3-1		mag	114	-53.1	1	10	0	0.4	2.9				853	673	K		hargrave 2016-05-18 11:29:00	pmagpy-4.0.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		
AP3-1a	AP3-1		mag	97.6	-60.8	1	10	100	0.4	2.9				853	673	K		hargrave 2016-05-18 11:29:00	pmagpy-4.0.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g		
AP3-2a	AP3-2		mag	26.5	29.1	1	10	-1	1.1	1.4				853	673	K		hargrave 2016-05-18 11:30:31	pmagpy-4.0.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		
AP3-2a	AP3-2		mag	123.5	-47.5	1	10	0	1.1	1.4				853	673	K		hargrave 2016-05-18 11:30:31	pmagpy-4.0.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		
AP3-2a	AP3-2		mag	112	-57.1	1	10	100	1.1	1.4				853	673	K		hargrave 2016-05-18 11:30:31	pmagpy-4.0.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g		
AP3-3a	AP3-3		mag	101.9	-56.3	1	10	100	0.6	1.2				853	673	K		hargrave 2016-05-18 11:32:08	pmagpy-4.0.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g		
AP3-3a	AP3-3		mag	243.6	-54.7	1	10	-1	0.6	1.2				853	673	K		hargrave 2016-05-18 11:32:08	pmagpy-4.0.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		
AP3-3a	AP3-3		mag	115.1	-48.2	1	10	0	0.6	1.2				853	673	K		hargrave 2016-05-18 11:32:08	pmagpy-4.0.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		
AP3-4a	AP3-4		mag	125.7	-46.5	1	10	0	0.7	2.3				853	673	K		hargrave 2016-05-18 11:34:40	pmagpy-4.0.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		
AP3-4a	AP3-4		mag	115.1	-56.6	1	10	100	0.7	2.3				853	673	K		hargrave 2016-05-18 11:34:40	pmagpy-4.0.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g		
AP3-4a	AP3-4		mag	255.4	-54.2	1	10	-1	0.7	2.3				853	673	K		hargrave 2016-05-18 11:34:40	pmagpy-4.0.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		
AP3-5a	AP3-5		mag	108.1	-58.3	1	10	100	1.1	1.3				853	673	K		hargrave 2016-05-18 11:37:45	pmagpy-4.0.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g		
AP3-5a	AP3-5		mag	44.8	-49.4	1	10	-1	1.1	1.3				853	673	K		hargrave 2016-05-18 11:37:45	pmagpy-4.0.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		
AP3-5a	AP3-5		mag	120.9	-49.1	1	10	0	1.1	1.3				853	673	K		hargrave 2016-05-18 11:37:45	pmagpy-4.0.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		
AP3-6a	AP3-6		mag	51.8	-35.9	1	10	-1	0.3	1.9				853	673	K		hargrave 2016-05-18 11:39:31	pmagpy-4.0.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		
AP3-6a	AP3-6		mag	114.2	-49.8	1	10	0	0.3	1.9				853	673	K		hargrave 2016-05-18 11:39:31	pmagpy-4.0.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		
AP3-6a	AP3-6		mag	99.9	-57.7	1	10	100	0.3	1.9				853	673	K		hargrave 2016-05-18 11:39:31	pmagpy-4.0.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g		
AP3-7a	AP3-7		mag	60.8	-46.9	1	10	-1	1.1	2.2				853	673	K		hargrave 2016-05-18 11:41:08	pmagpy-4.0.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		
AP3-7a	AP3-7		mag	114.2	-53.4	1	10	0	1.1	2.2				853	673	K		hargrave 2016-05-18 11:41:08	pmagpy-4.0.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		
AP3-7a	AP3-7		mag	97.7	-61.1	1	10	100	1.1	2.2				853	673	K		hargrave 2016-05-18 11:41:08	pmagpy-4.0.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g		
AP3-8a	AP3-8		mag	70.9	-53.5	1	10	-1	1	2.1				853	673	K		hargrave 2016-05-18 11:42:41	pmagpy-4.0.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		
AP3-8a	AP3-8		mag	124.3	-53.2	1	10	0	1	2.1				853	673	K		hargrave 2016-05-18 11:42:41	pmagpy-4.0.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		
AP3-8a	AP3-8		mag	110	-62.8	1	10	100	1	2.1				853	673	K		hargrave 2016-05-18 11:42:41	pmagpy-4.0.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g		
AP4-1a	AP4-1		mag	330.5	-19.9	1	10	-1	0.8	3.8				853	673	K		hargrave 2016-05-18 11:44:14	pmagpy-4.0.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		
AP4-1a	AP4-1		mag	107	-61.7	1	10	0	0.8	3.8				853	673	K		hargrave 2016-05-18 11:44:14	pmagpy-4.0.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		
AP4-1a	AP4-1		mag	81.9	-67.2	1	10	100	0.8	3.8				853	673	K		hargrave 2016-05-18 11:44:14	pmagpy-4.0.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g		
AP4-2a	AP4-2		mag	80.2	-73.2	1	10	100	2	3.6				853	673	K		hargrave 2016-05-18 11:45:42	pmagpy-4.0.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g		
AP4-2a	AP4-2		mag	113.1	-67.2	1	10	0	2	3.6				853	673	K		hargrave 2016-05-18 11:45:42	pmagpy-4.0.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		
AP4-2a	AP4-2		mag	341.3	5.2	1	10	-1	2	3.6				853	673	K		hargrave 2016-05-18 11:45:42	pmagpy-4.0.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		
