tab	measurements																												
measurement	experiment	specimen	dir_csd	dir_dec	dir_inc	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_step_num	treat_temp	citations	instrument_codes	method_codes	quality	sequence	standard	meas_n_orient	meas_temp	analysts	description	software_packages	magn_moment	magn_x_sigma	magn_y_sigma	magn_z_sigma	sample	site	location
AP1-1a:LP-DIR-T1	AP1-1a:LP-DIR-T	AP1-1a	1.5	302.8	-56.9	0	0	0	-90	1	273	This study	hargrave 2016-04-08 16:13:53	LT-NO:LP-DIR-T	g	1	u	8	273			pmagpy-3.4.1	3.34E-05	7.87E-07	4.07E-07	3.70E-07	AP1-1	AP1	Agate Point
AP1-1a:LP-DIR-T2	AP1-1a:LP-DIR-T	AP1-1a	2.1	301.6	-57	0	0	0	-90	2	77	This study	hargrave 2016-04-11 16:31:39	LT-LT-Z:LP-DIR-T	g	2	u	8	273			pmagpy-3.4.1	3.30E-05	1.09E-06	5.27E-07	3.71E-07	AP1-1	AP1	Agate Point
AP1-1a:LP-DIR-T3	AP1-1a:LP-DIR-T	AP1-1a	2	303.2	-57	0	0	0	-90	3	373	This study	hargrave 2016-04-18 09:19:17	LT-T-Z:LP-DIR-T	g	3	u	8	273			pmagpy-3.4.1	3.30E-05	1.03E-06	5.07E-07	3.67E-07	AP1-1	AP1	Agate Point
AP1-1a:LP-DIR-T4	AP1-1a:LP-DIR-T	AP1-1a	1.4	305.6	-57.1	0	0	0	-90	4	473	This study	hargrave 2016-04-18 16:34:42	LT-T-Z:LP-DIR-T	g	4	u	8	273			pmagpy-3.4.1	3.34E-05	7.11E-07	4.14E-07	3.58E-07	AP1-1	AP1	Agate Point
AP1-1a:LP-DIR-T5	AP1-1a:LP-DIR-T	AP1-1a	1.1	303.4	-57.3	0	0	0	-90	5	573	This study	hargrave 2016-04-19 12:21:57	LT-T-Z:LP-DIR-T	g	5	u	8	273			pmagpy-3.4.1	3.13E-05	4.47E-07	4.19E-07	3.31E-07	AP1-1	AP1	Agate Point
AP1-1a:LP-DIR-T6	AP1-1a:LP-DIR-T	AP1-1a	1.7	308.5	-57	0	0	0	-90	6	623	This study	hargrave 2016-04-25 11:56:05	LT-T-Z:LP-DIR-T	g	6	u	8	273			pmagpy-3.4.1	2.55E-05	6.25E-07	4.17E-07	4.02E-07	AP1-1	AP1	Agate Point
AP1-1a:LP-DIR-T7	AP1-1a:LP-DIR-T	AP1-1a	2.3	307.6	-57.4	0	0	0	-90	7	673	This study	hargrave 2016-04-26 08:51:24	LT-T-Z:LP-DIR-T	g	7	u	8	273			pmagpy-3.4.1	2.22E-05	7.67E-07	4.51E-07	3.23E-07	AP1-1	AP1	Agate Point
AP1-1a:LP-DIR-T8	AP1-1a:LP-DIR-T	AP1-1a	1.8	306.1	-56.8	0	0	0	-90	8	723	This study	hargrave 2016-04-26 16:20:18	LT-T-Z:LP-DIR-T	g	8	u	8	273			pmagpy-3.4.1	1.99E-05	5.08E-07	3.54E-07	2.64E-07	AP1-1	AP1	Agate Point
AP1-1a:LP-DIR-T9	AP1-1a:LP-DIR-T	AP1-1a	1.4	307.3	-57.1	0	0	0	-90	9	748	This study	hargrave 2016-05-02 13:14:36	LT-T-Z:LP-DIR-T	g	9	u	8	273			pmagpy-3.4.1	1.81E-05	3.46E-07	2.65E-07	1.94E-07	AP1-1	AP1	Agate Point
AP1-1a:LP-DIR-T10	AP1-1a:LP-DIR-T	AP1-1a	2.1	306.7	-57.5	0	0	0	-90	10	773	This study	hargrave 2016-05-02 19:37:35	LT-T-Z:LP-DIR-T	g	10	u	8	273			pmagpy-3.4.1	1.66E-05	5.32E-07	2.95E-07	2.55E-07	AP1-1	AP1	Agate Point
