tab	samples
sample	site	method_codes	citations	orientation_quality	azimuth	azimuth_dec_correction	dip	bed_dip	bed_dip_direction	height	orientation_flag
GB1-1	GB1	SO-CMD-NORTH	This study	g	-77.5	0	-19	9.5	112.2	0.75	g
GB1-2	GB1	SO-CMD-NORTH	This study	g	-61.5	0	-32	9.5	112.2	0.75	g
GB1-3	GB1	SO-CMD-NORTH	This study	g	-51.5	0	-30	9.5	112.2	0.75	g
GB1-4	GB1	SO-CMD-NORTH	This study	g	256.5	0	-22	9.5	112.2	1.3	g
GB1-5	GB1	SO-CMD-NORTH	This study	g	204.5	0	-39	9.5	112.2	1.25	g
GB1-6	GB1	SO-CMD-NORTH	This study	g	-16.5	0	-10	9.5	112.2	1.65	g
GB1-7	GB1	SO-CMD-NORTH	This study	g	95.5	0	-63	9.5	112.2	2.4	g
GB1-8	GB1	SO-CMD-NORTH	This study	g	110.5	0	-80	9.5	112.2	2.5	g
GB10-1	GB10	SO-CMD-NORTH	This study	g	80.9	0	-24	9.5	110.7	229.5	g
GB10-10	GB10	SO-CMD-NORTH	This study	g	237.5	0	-9	9.5	110.7	230.35	g
GB10-2	GB10	SO-CMD-NORTH	This study	g	55.6	0	-28	9.5	110.7	229.75	g
GB10-3	GB10	SO-CMD-NORTH	This study	g	151.9	0	-35	9.5	110.7	229.95	g
GB10-4	GB10	SO-CMD-NORTH	This study	g	218.1	0	-11	9.5	110.7	229.95	g
GB10-5	GB10	SO-CMD-NORTH	This study	g	114.7	0	-13	9.5	110.7	230.25	g
GB10-6	GB10	SO-CMD-NORTH	This study	g	98.5	0	-4	9.5	110.7	230.3	g
GB10-7	GB10	SO-CMD-NORTH	This study	g	166.7	0	-44	9.5	110.7	230.95	g
GB10-8	GB10	SO-CMD-NORTH	This study	g	83.5	0	-26	9.5	110.7	230.5	g
GB10-9	GB10	SO-CMD-NORTH	This study	g	133.5	0	-13	9.5	110.7	230.35	g
GB11-1	GB11	SO-CMD-NORTH	This study	g	152.4	0	-25	9.5	110.7	231.7	g
GB11-2	GB11	SO-CMD-NORTH	This study	g	241.3	0	-9	9.5	110.7	232.35	g
GB11-3	GB11	SO-CMD-NORTH	This study	g	251.6	0	-5	9.5	110.7	232.05	g
