tab 	measurements
citations	description	dir_csd	dir_dec	dir_inc	experiment	instrument_codes	location	magic_software_packages	magn_moment	measurement_positions	measurement_sd_x	measurement_sd_y	measurement_sd_z	measurement_standard	measurement_temp	method_codes	number	quality	sample	site	specimen	treat_ac_field	treat_dc_field	treat_temp
This study		1.5	302.8	-56.9	AP1-1a:LP-DIR-T	hargrave 2016-04-08 16:13:53	Agate Point	pmagpy-3.4.0	3.34E-05	1	7.87E-07	4.07E-07	3.70E-07	u	273	LT-NO:LP-DIR-T	1	g	AP1-1	AP1	AP1-1a	0	0	273
This study		2.1	301.6	-57	AP1-1a:LP-DIR-T	hargrave 2016-04-11 16:31:39	Agate Point	pmagpy-3.4.0	3.30E-05	1	1.09E-06	5.27E-07	3.71E-07	u	273	LT-LT-Z:LP-DIR-T	2	g	AP1-1	AP1	AP1-1a	0	0	77
This study		2	303.2	-57	AP1-1a:LP-DIR-T	hargrave 2016-04-18 09:19:17	Agate Point	pmagpy-3.4.0	3.30E-05	1	1.03E-06	5.07E-07	3.67E-07	u	273	LT-T-Z:LP-DIR-T	3	g	AP1-1	AP1	AP1-1a	0	0	373
This study		1.4	305.6	-57.1	AP1-1a:LP-DIR-T	hargrave 2016-04-18 16:34:42	Agate Point	pmagpy-3.4.0	3.34E-05	1	7.11E-07	4.14E-07	3.58E-07	u	273	LT-T-Z:LP-DIR-T	4	g	AP1-1	AP1	AP1-1a	0	0	473
This study		1.1	303.4	-57.3	AP1-1a:LP-DIR-T	hargrave 2016-04-19 12:21:57	Agate Point	pmagpy-3.4.0	3.13E-05	1	4.47E-07	4.19E-07	3.31E-07	u	273	LT-T-Z:LP-DIR-T	5	g	AP1-1	AP1	AP1-1a	0	0	573
This study		1.7	308.5	-57	AP1-1a:LP-DIR-T	hargrave 2016-04-25 11:56:05	Agate Point	pmagpy-3.4.0	2.55E-05	1	6.25E-07	4.17E-07	4.02E-07	u	273	LT-T-Z:LP-DIR-T	6	g	AP1-1	AP1	AP1-1a	0	0	623
This study		2.3	307.6	-57.4	AP1-1a:LP-DIR-T	hargrave 2016-04-26 08:51:24	Agate Point	pmagpy-3.4.0	2.22E-05	1	7.67E-07	4.51E-07	3.23E-07	u	273	LT-T-Z:LP-DIR-T	7	g	AP1-1	AP1	AP1-1a	0	0	673
This study		1.8	306.1	-56.8	AP1-1a:LP-DIR-T	hargrave 2016-04-26 16:20:18	Agate Point	pmagpy-3.4.0	1.99E-05	1	5.08E-07	3.54E-07	2.64E-07	u	273	LT-T-Z:LP-DIR-T	8	g	AP1-1	AP1	AP1-1a	0	0	723
This study		1.4	307.3	-57.1	AP1-1a:LP-DIR-T	hargrave 2016-05-02 13:14:36	Agate Point	pmagpy-3.4.0	1.81E-05	1	3.46E-07	2.65E-07	1.94E-07	u	273	LT-T-Z:LP-DIR-T	9	g	AP1-1	AP1	AP1-1a	0	0	748
This study		2.1	306.7	-57.5	AP1-1a:LP-DIR-T	hargrave 2016-05-02 19:37:35	Agate Point	pmagpy-3.4.0	1.66E-05	1	5.32E-07	2.95E-07	2.55E-07	u	273	LT-T-Z:LP-DIR-T	10	g	AP1-1	AP1	AP1-1a	0	0	773
This study		1.8	306.3	-57.2	AP1-1a:LP-DIR-T	hargrave 2016-05-03 18:30:33	Agate Point	pmagpy-3.4.0	1.47E-05	1	4.14E-07	2.21E-07	1.96E-07	u	273	LT-T-Z:LP-DIR-T	11	g	AP1-1	AP1	AP1-1a	0	0	798
This study		1.8	308.6	-57.8	AP1-1a:LP-DIR-T	hargrave 2016-05-12 14:11:06	Agate Point	pmagpy-3.4.0	1.24E-05	1	3.40E-07	1.99E-07	1.92E-07	u	273	LT-T-Z:LP-DIR-T	12	g	AP1-1	AP1	AP1-1a	0	0	823
This study		1.8	308.3	-56.9	AP1-1a:LP-DIR-T	hargrave 2016-05-16 11:51:52	Agate Point	pmagpy-3.4.0	1.05E-05	1	2.80E-07	1.62E-07	1.66E-07	u	273	LT-T-Z:LP-DIR-T	13	g	AP1-1	AP1	AP1-1a	0	0	833
This study		2.3	307.6	-57.3	AP1-1a:LP-DIR-T	hargrave 2016-05-16 17:52:28	Agate Point	pmagpy-3.4.0	8.91E-06	1	3.20E-07	1.70E-07	1.41E-07	u	273	LT-T-Z:LP-DIR-T	14	g	AP1-1	AP1	AP1-1a	0	0	843
This study		2.5	308.4	-57.3	AP1-1a:LP-DIR-T	hargrave 2016-05-17 14:09:37	Agate Point	pmagpy-3.4.0	7.73E-06	1	2.84E-07	1.74E-07	1.16E-07	u	273	LT-T-Z:LP-DIR-T	15	g	AP1-1	AP1	AP1-1a	0	0	848
This study		1.6	309.7	-56.1	AP1-1a:LP-DIR-T	hargrave 2016-05-18 11:01:40	Agate Point	pmagpy-3.4.0	6.92E-06	1	1.73E-07	1.02E-07	9.40E-08	u	273	LT-T-Z:LP-DIR-T	16	g	AP1-1	AP1	AP1-1a	0	0	853
This study		2	346.6	-76.9	AP1-2a:LP-DIR-T	hargrave 2016-04-08 16:15:33	Agate Point	pmagpy-3.4.0	2.18E-05	1	7.34E-07	2.96E-07	2.07E-07	u	273	LT-NO:LP-DIR-T	1	g	AP1-2	AP1	AP1-2a	0	0	273
This study		2.1	347.7	-76.9	AP1-2a:LP-DIR-T	hargrave 2016-04-11 16:33:18	Agate Point	pmagpy-3.4.0	2.10E-05	1	7.33E-07	2.88E-07	2.07E-07	u	273	LT-LT-Z:LP-DIR-T	2	g	AP1-2	AP1	AP1-2a	0	0	77
This study		2	347.5	-77	AP1-2a:LP-DIR-T	hargrave 2016-04-18 09:20:38	Agate Point	pmagpy-3.4.0	2.10E-05	1	6.58E-07	2.86E-07	2.16E-07	u	273	LT-T-Z:LP-DIR-T	3	g	AP1-2	AP1	AP1-2a	0	0	373
This study		2	344.6	-76.2	AP1-2a:LP-DIR-T	hargrave 2016-04-18 16:36:04	Agate Point	pmagpy-3.4.0	2.14E-05	1	6.92E-07	2.98E-07	2.25E-07	u	273	LT-T-Z:LP-DIR-T	4	g	AP1-2	AP1	AP1-2a	0	0	473
This study		2	345	-76.1	AP1-2a:LP-DIR-T	hargrave 2016-04-19 12:23:18	Agate Point	pmagpy-3.4.0	2.01E-05	1	6.53E-07	2.77E-07	1.99E-07	u	273	LT-T-Z:LP-DIR-T	5	g	AP1-2	AP1	AP1-2a	0	0	573
This study		2.5	345	-75.8	AP1-2a:LP-DIR-T	hargrave 2016-04-25 11:57:50	Agate Point	pmagpy-3.4.0	1.44E-05	1	5.63E-07	2.75E-07	2.39E-07	u	273	LT-T-Z:LP-DIR-T	6	g	AP1-2	AP1	AP1-2a	0	0	623
This study		2.4	346.6	-76	AP1-2a:LP-DIR-T	hargrave 2016-04-26 08:53:03	Agate Point	pmagpy-3.4.0	1.29E-05	1	5.04E-07	2.33E-07	2.13E-07	u	273	LT-T-Z:LP-DIR-T	7	g	AP1-2	AP1	AP1-2a	0	0	673
